country,date,confirmed,deaths,recovered
Germany,2020-01-22,0,0,0
Germany,2020-01-23,0,0,0
Germany,2020-01-24,0,0,0
Germany,2020-01-25,0,0,0
Germany,2020-01-26,0,0,0
Germany,2020-01-27,1,0,0
Germany,2020-01-28,4,0,0
Germany,2020-01-29,4,0,0
Germany,2020-01-30,4,0,0
Germany,2020-01-31,5,0,0
Germany,2020-02-01,8,0,0
Germany,2020-02-02,10,0,0
Germany,2020-02-03,12,0,0
Germany,2020-02-04,12,0,0
Germany,2020-02-05,12,0,0
Germany,2020-02-06,12,0,0
Germany,2020-02-07,13,0,0
Germany,2020-02-08,13,0,0
Germany,2020-02-09,14,0,0
Germany,2020-02-10,14,0,0
Germany,2020-02-11,16,0,0
Germany,2020-02-12,16,0,0
Germany,2020-02-13,16,0,1
Germany,2020-02-14,16,0,1
Germany,2020-02-15,16,0,1
Germany,2020-02-16,16,0,1
Germany,2020-02-17,16,0,1
Germany,2020-02-18,16,0,12
Germany,2020-02-19,16,0,12
Germany,2020-02-20,16,0,12
Germany,2020-02-21,16,0,14
Germany,2020-02-22,16,0,14
Germany,2020-02-23,16,0,14
Germany,2020-02-24,16,0,14
Germany,2020-02-25,17,0,14
Germany,2020-02-26,27,0,15
Germany,2020-02-27,46,0,16
Germany,2020-02-28,48,0,16
Germany,2020-02-29,79,0,16
Germany,2020-03-01,130,0,16
Germany,2020-03-02,159,0,16
Germany,2020-03-03,196,0,16
Germany,2020-03-04,262,0,16
Germany,2020-03-05,482,0,16
Germany,2020-03-06,670,0,17
Germany,2020-03-07,799,0,18
Germany,2020-03-08,1040,0,18
Germany,2020-03-09,1176,2,18
Germany,2020-03-10,1457,2,18
Germany,2020-03-11,1908,3,25
Germany,2020-03-12,2078,3,25
Germany,2020-03-13,3675,7,46
Germany,2020-03-14,4585,9,46
Germany,2020-03-15,5795,11,46
Germany,2020-03-16,7272,17,67
Germany,2020-03-17,9257,24,67
Germany,2020-03-18,12327,28,105
Germany,2020-03-19,15320,44,113
Germany,2020-03-20,19848,67,180
Germany,2020-03-21,22213,84,233
Germany,2020-03-22,24873,94,266
Germany,2020-03-23,29056,123,266
Germany,2020-03-24,32986,157,3243
Germany,2020-03-25,37323,206,3547
Germany,2020-03-26,43938,267,5673
Germany,2020-03-27,50871,342,6658
Germany,2020-03-28,57695,433,8481
Germany,2020-03-29,62095,533,9211
Germany,2020-03-30,66885,645,13500
Germany,2020-03-31,71808,775,16100
Germany,2020-04-01,77872,920,18700
Germany,2020-04-02,84794,1107,22440
Germany,2020-04-03,91159,1275,24575
Germany,2020-04-04,96092,1444,26400
Germany,2020-04-05,100123,1584,28700
Germany,2020-04-06,103374,1810,28700
Germany,2020-04-07,107663,2016,36081
Germany,2020-04-08,113296,2349,46300
Germany,2020-04-09,118181,2607,52407
Germany,2020-04-10,122171,2767,53913
Germany,2020-04-11,124908,2736,57400
Germany,2020-04-12,127854,3022,60300
Germany,2020-04-13,130072,3194,64300
Germany,2020-04-14,131359,3294,68200
Germany,2020-04-15,134753,3804,72600
Germany,2020-04-16,137698,4052,77000
Germany,2020-04-17,141397,4352,83114
Germany,2020-04-18,143342,4459,85400
Germany,2020-04-19,145184,4586,88000
Germany,2020-04-20,147065,4862,91500
