base,date,USD,EUR,GBP,JPY,CNY
USD,2020-01-22,1,0.9018759019,0.7615891053,109.9657287157,6.9020562771
USD,2020-01-23,1,0.9016319538,0.7618609684,109.5482823911,6.9332792354
USD,2020-01-24,1,0.9062075215,0.7640507476,109.6148618034,6.9333031264
USD,2020-01-27,1,0.9070294785,0.7651519274,108.9433106576,6.9366893424
USD,2020-01-28,1,0.9086778737,0.7687687415,109.0595184007,6.9366651522
USD,2020-01-29,1,0.909008272,0.7688391964,109.1355331334,6.9366421234
USD,2020-01-30,1,0.9067005168,0.7632876961,108.8312630338,6.9366216339
USD,2020-01-31,1,0.9048136084,0.7616268549,108.8943177705,6.9366630474
USD,2020-02-03,1,0.9036688957,0.7660853063,108.5306343756,7.0197903488
USD,2020-02-04,1,0.905141202,0.7682838523,109.0876176684,6.9965604634
USD,2020-02-05,1,0.9071940488,0.7660709426,109.7160482627,6.9725120203
